CustomerID,Lookalikes
C0044,"[('C0115', 0.9942133530242268), ('C0050', 0.9921887612340101), ('C0074', 0.9916776130049479)]"
C0045,"[('C0041', 0.9997278031613949), ('C0012', 0.9957679071207579), ('C0153', 0.9947432371696553)]"
C0046,"[('C0057', 0.9996389891526571), ('C0104', 0.9989919821323954), ('C0099', 0.9984698726714482)]"
C0047,"[('C0147', 0.9834000609118444), ('C0161', 0.9763467014791974), ('C0098', 0.9751792264814486)]"
C0048,"[('C0183', 0.9999996415286149), ('C0187', 0.9866160870141507), ('C0107', 0.9074404123151201)]"
C0049,"[('C0181', 0.9509578691890135), ('C0047', 0.9290179186962326), ('C0161', 0.9269270940740927)]"
C0050,"[('C0074', 0.9999816009505567), ('C0115', 0.9995299823160767), ('C0044', 0.9921887612340101)]"
C0051,"[('C0022', 0.995935919312681), ('C0155', 0.9899134435396687), ('C0013', 0.9885773644547206)]"
C0052,"[('C0132', 0.9987837352720489), ('C0062', 0.996209656296089), ('C0193', 0.9928229588817257)]"
C0053,"[('C0087', 0.9992276101047615), ('C0082', 0.9977010419103386), ('C0054', 0.9957497894042453)]"
C0054,"[('C0188', 0.9981284914299838), ('C0105', 0.9966234680295121), ('C0087', 0.9962843752349957)]"
C0055,"[('C0174', 0.9997958802407253), ('C0076', 0.9946230178722785), ('C0157', 0.9883901057349125)]"
C0056,"[('C0189', 0.9831512532221026), ('C0191', 0.9787845288009969), ('C0088', 0.9758311955945967)]"
C0057,"[('C0046', 0.9996389891526571), ('C0104', 0.9983786038785468), ('C0145', 0.9979510211140423)]"
C0058,"[('C0015', 0.9999874168608279), ('C0131', 0.9999687170122996), ('C0005', 0.9997982043779897)]"
C0059,"[('C0105', 0.9993444111343726), ('C0013', 0.9992581092102039), ('C0099', 0.9986438845289702)]"
C0060,"[('C0033', 0.9999747781569307), ('C0014', 0.99942148368938), ('C0186', 0.9992468806238043)]"
C0061,"[('C0178', 0.996997477528351), ('C0042', 0.9964811872293462), ('C0123', 0.9963803324420022)]"
C0062,"[('C0132', 0.9985342968903701), ('C0133', 0.9977821083568881), ('C0144', 0.9969146113849084)]"
C0063,"[('C0130', 0.9999132921639493), ('C0150', 0.9999005750333625), ('C0095', 0.9998044451426168)]"
C0064,"[('C0011', 0.9760655386675107), ('C0096', 0.967207681001112), ('C0171', 0.9636033420442472)]"
C0065,"[('C0156', 0.9994269802892355), ('C0068', 0.9992535058504218), ('C0057', 0.9976530668945868)]"
C0066,"[('C0185', 0.9825206586581643), ('C0040', 0.9615477839546696), ('C0026', 0.9489893422348923)]"
C0067,"[('C0021', 0.9976725127995538), ('C0108', 0.9941715907500575), ('C0093', 0.9789687878047261)]"
C0068,"[('C0156', 0.9999609626563941), ('C0065', 0.9992535058504218), ('C0101', 0.996289670788369)]"
C0069,"[('C0103', 0.9947449490429876), ('C0191', 0.9932529857013821), ('C0164', 0.982275109243013)]"
C0070,"[('C0052', 0.9825181189574317), ('C0092', 0.972459635669741), ('C0132', 0.9721440847414051)]"
C0071,"[('C0035', 0.9985280133720289), ('C0043', 0.9980973626444781), ('C0186', 0.9956560750929261)]"
C0072,"[('C0106', 0.999627208016231), ('C0086', 0.9965432448458498), ('C0038', 0.9954611828691478)]"
C0073,"[('C0144', 0.9991295419761774), ('C0062', 0.9952113181565658), ('C0197', 0.9943077857739617)]"
C0074,"[('C0050', 0.9999816009505567), ('C0115', 0.9993256266839957), ('C0044', 0.9916776130049479)]"
C0075,"[('C0195', 0.9987564541175957), ('C0004', 0.997674065238924), ('C0113', 0.9972807457274828)]"
C0076,"[('C0157', 0.9987603932408572), ('C0174', 0.9954433701203219), ('C0055', 0.9946230178722785)]"
C0077,"[('C0031', 0.9970313428116166), ('C0199', 0.9943841119119431), ('C0032', 0.9932237445416673)]"
C0078,"[('C0167', 0.9990933464415986), ('C0080', 0.9989554130779416), ('C0123', 0.998734235639853)]"
C0079,"[('C0006', 0.9998795967431424), ('C0196', 0.9939739111961085), ('C0117', 0.9866368739182295)]"
C0080,"[('C0167', 0.9999415242502645), ('C0020', 0.999894521123968), ('C0078', 0.9989554130779416)]"
C0081,"[('C0179', 0.9944386982050263), ('C0008', 0.9926519091915026), ('C0024', 0.985681025184257)]"
C0082,"[('C0188', 0.9977784528598866), ('C0053', 0.9977010419103386), ('C0054', 0.9949173018402849)]"
C0083,"[('C0192', 0.9985396436161127), ('C0032', 0.9985099582817061), ('C0043', 0.9958393601793083)]"
C0084,"[('C0017', 0.9960896356490087), ('C0162', 0.9955806948864658), ('C0124', 0.9932306298144649)]"
C0085,"[('C0125', 0.9981033539477414), ('C0135', 0.9978725543133263), ('C0042', 0.9965262500841997)]"
C0086,"[('C0038', 0.9999262965153445), ('C0030', 0.9993424345497314), ('C0106', 0.9984399421672583)]"
C0087,"[('C0053', 0.9992276101047615), ('C0102', 0.9982867962073988), ('C0054', 0.9962843752349957)]"
C0088,"[('C0189', 0.9993058760888504), ('C0157', 0.9970980083831096), ('C0076', 0.9926508961779691)]"
C0089,"[('C0092', 0.9901051427841266), ('C0007', 0.9897049517672641), ('C0074', 0.988735383532333)]"
C0090,"[('C0008', 0.9879299030214599), ('C0179', 0.984453546073831), ('C0084', 0.9830529201735775)]"
C0091,"[('C0134', 0.8620459577861525), ('C0136', 0.8468532214434857), ('C0034', 0.8252277669640246)]"
C0092,"[('C0089', 0.9901051427841266), ('C0070', 0.972459635669741), ('C0193', 0.9697954447195369)]"
C0093,"[('C0173', 0.9944222529018142), ('C0122', 0.9932222940727186), ('C0108', 0.9918113622018545)]"
C0094,"[('C0121', 0.9976388859182448), ('C0029', 0.9951410750871295), ('C0002', 0.9935549754103506)]"
C0095,"[('C0150', 0.9998163463378833), ('C0063', 0.9998044451426168), ('C0130', 0.9997644323434667)]"
C0096,"[('C0171', 0.9995482474631715), ('C0170', 0.9970164583995582), ('C0037', 0.9936356466770985)]"
C0097,"[('C0186', 0.9997357914307272), ('C0131', 0.9995584107206124), ('C0015', 0.9994818221670598)]"
C0098,"[('C0161', 0.9999827345653999), ('C0147', 0.9989865572314744), ('C0024', 0.9782826240632324)]"
C0099,"[('C0104', 0.999773538823218), ('C0059', 0.9986438845289702), ('C0046', 0.9984698726714482)]"
C0100,"[('C0023', 0.9990482771647566), ('C0051', 0.9851329490601131), ('C0126', 0.9760619030684009)]"
C0101,"[('C0145', 0.9988175711821506), ('C0153', 0.998194882280798), ('C0057', 0.9975878978222579)]"
C0102,"[('C0153', 0.9992207032936592), ('C0145', 0.9983135516449642), ('C0087', 0.9982867962073988)]"
C0103,"[('C0069', 0.9947449490429876), ('C0164', 0.9938688462323367), ('C0191', 0.9762127402215306)]"
C0104,"[('C0099', 0.999773538823218), ('C0046', 0.9989919821323954), ('C0057', 0.9983786038785468)]"
C0105,"[('C0059', 0.9993444111343726), ('C0099', 0.9981037758124747), ('C0013', 0.9977518717942893)]"
C0106,"[('C0072', 0.999627208016231), ('C0086', 0.9984399421672583), ('C0038', 0.997688451678711)]"
C0107,"[('C0016', 0.9642876834861008), ('C0183', 0.907795864460104), ('C0048', 0.9074404123151201)]"
C0108,"[('C0021', 0.9991587931178616), ('C0122', 0.9945905400269182), ('C0067', 0.9941715907500575)]"
C0109,"[('C0195', 0.9973640042307665), ('C0124', 0.9932788704241242), ('C0075', 0.9928523910335559)]"
C0110,"[('C0020', 0.9988337774862421), ('C0080', 0.9984966128404693), ('C0129', 0.9984783204702026)]"
C0111,"[('C0160', 0.9957971968797837), ('C0190', 0.992043903748434), ('C0134', 0.9514546164763904)]"
C0112,"[('C0036', 0.9996897941191085), ('C0159', 0.999353420015359), ('C0014', 0.9991378069765813)]"
C0113,"[('C0039', 0.9993948473477124), ('C0195', 0.9973819542402744), ('C0075', 0.9972807457274828)]"
C0114,"[('C0149', 0.9985756944320247), ('C0200', 0.99852209817227), ('C0148', 0.9974452402552029)]"
C0115,"[('C0050', 0.9995299823160767), ('C0074', 0.9993256266839957), ('C0044', 0.9942133530242268)]"
C0116,"[('C0172', 0.9648673794171682), ('C0019', 0.9583927127074583), ('C0127', 0.9343376308325154)]"
C0117,"[('C0006', 0.9890464129049238), ('C0079', 0.9866368739182295), ('C0196', 0.9847718312066864)]"
C0118,"[('C0184', 0.9773796504174596), ('C0127', 0.9614756012574158), ('C0154', 0.9502545485179248)]"
C0119,"[('C0191', 0.9886235192798519), ('C0189', 0.9852962508183923), ('C0088', 0.9848101588149889)]"
C0120,"[('C0193', 0.9999422425240161), ('C0129', 0.9986973533727229), ('C0110', 0.9962143790938846)]"
C0121,"[('C0094', 0.9976388859182448), ('C0025', 0.9908385359045377), ('C0029', 0.9899438994066133)]"
C0122,"[('C0173', 0.9979310830278963), ('C0155', 0.9964279904656569), ('C0108', 0.9945905400269182)]"
C0123,"[('C0005', 0.999705757102651), ('C0058', 0.9990258559068913), ('C0015', 0.9987955139680343)]"
C0124,"[('C0017', 0.9977055542411002), ('C0109', 0.9932788704241242), ('C0084', 0.9932306298144649)]"
C0125,"[('C0085', 0.9981033539477414), ('C0140', 0.9977988646183348), ('C0042', 0.9974620715772442)]"
C0126,"[('C0100', 0.9760619030684009), ('C0023', 0.9705354145169135), ('C0051', 0.9625397513224015)]"
C0127,"[('C0184', 0.9896749045814267), ('C0118', 0.9614756012574158), ('C0116', 0.9343376308325154)]"
C0128,"[('C0198', 0.99960155888018), ('C0186', 0.9990422239828639), ('C0097', 0.9989178008433387)]"
C0129,"[('C0133', 0.999127034363422), ('C0120', 0.9986973533727229), ('C0110', 0.9984783204702026)]"
C0130,"[('C0150', 0.9999946592992364), ('C0063', 0.9999132921639493), ('C0095', 0.9997644323434667)]"
C0131,"[('C0015', 0.9999953416670487), ('C0058', 0.9999687170122996), ('C0005', 0.9996232524896869)]"
C0132,"[('C0052', 0.9987837352720489), ('C0062', 0.9985342968903701), ('C0129', 0.9973248998319048)]"
C0133,"[('C0129', 0.999127034363422), ('C0110', 0.9981442355358442), ('C0062', 0.9977821083568881)]"
C0134,"[('C0190', 0.9707675503299074), ('C0160', 0.9583069530574801), ('C0111', 0.9514546164763904)]"
C0135,"[('C0085', 0.9978725543133263), ('C0042', 0.9923072497602722), ('C0125', 0.9920363951019872)]"
C0136,"[('C0169', 0.9920905494699366), ('C0039', 0.9818009294631758), ('C0113', 0.9767187251591336)]"
C0137,"[('C0152', 0.9867456824939336), ('C0164', 0.9817168858914169), ('C0001', 0.9620808326053049)]"
C0138,"[('C0114', 0.9427263451478819), ('C0163', 0.9350832937666298), ('C0148', 0.9350388518890506)]"
C0139,"[('C0024', 0.9850687693224672), ('C0194', 0.9775604724671387), ('C0098', 0.9739429157466039)]"
C0140,"[('C0007', 0.9985337287784549), ('C0078', 0.9984196999439928), ('C0125', 0.9977988646183348)]"
C0141,"[('C0013', 0.9978361389320974), ('C0059', 0.99618490025893), ('C0105', 0.9959194014226906)]"
C0142,"[('C0166', 0.9974632397124411), ('C0031', 0.9909771867009423), ('C0002', 0.990821216192728)]"
C0143,"[('C0028', 0.9977282264898312), ('C0012', 0.9943529139337499), ('C0053', 0.9919263039417022)]"
C0144,"[('C0073', 0.9991295419761774), ('C0197', 0.9976663936882258), ('C0062', 0.9969146113849084)]"
C0145,"[('C0153', 0.9991074840543364), ('C0101', 0.9988175711821506), ('C0046', 0.9983405235130688)]"
C0146,"[('C0178', 0.9957532644676305), ('C0177', 0.9903747512656885), ('C0009', 0.9888169324261719)]"
C0147,"[('C0161', 0.9991499113998602), ('C0098', 0.9989865572314744), ('C0047', 0.9834000609118444)]"
C0148,"[('C0163', 0.9999038772928879), ('C0200', 0.9995362671827129), ('C0182', 0.999478072616318)]"
C0149,"[('C0200', 0.9994915105693416), ('C0114', 0.9985756944320247), ('C0148', 0.9980582766422966)]"
C0150,"[('C0130', 0.9999946592992364), ('C0063', 0.9999005750333625), ('C0095', 0.9998163463378833)]"
C0151,"[('C0036', 0.9989237500866024), ('C0197', 0.998817792385232), ('C0112', 0.9981619131720233)]"
C0152,"[('C0137', 0.9867456824939336), ('C0164', 0.9450110130492826), ('C0001', 0.9084832590995426)]"
C0153,"[('C0102', 0.9992207032936592), ('C0145', 0.9991074840543364), ('C0101', 0.998194882280798)]"
C0154,"[('C0184', 0.9607343991893421), ('C0118', 0.9502545485179248), ('C0127', 0.9110449066460153)]"
C0155,"[('C0022', 0.9965705788327004), ('C0122', 0.9964279904656569), ('C0104', 0.9948697663776779)]"
C0156,"[('C0068', 0.9999609626563941), ('C0065', 0.9994269802892355), ('C0101', 0.9968746131997397)]"
C0157,"[('C0076', 0.9987603932408572), ('C0088', 0.9970980083831096), ('C0189', 0.9952098731930065)]"
C0158,"[('C0044', 0.9486884666936488), ('C0066', 0.9353750228154994), ('C0115', 0.9143555879893537)]"
C0159,"[('C0095', 0.9996194930521275), ('C0063', 0.999373773869371), ('C0112', 0.999353420015359)]"
C0160,"[('C0190', 0.9986176133055223), ('C0111', 0.9957971968797837), ('C0134', 0.9583069530574801)]"
C0161,"[('C0098', 0.9999827345653999), ('C0147', 0.9991499113998602), ('C0024', 0.977106465110193)]"
C0162,"[('C0017', 0.9977685065474173), ('C0175', 0.996789306253334), ('C0084', 0.9955806948864658)]"
C0163,"[('C0148', 0.9999038772928879), ('C0182', 0.9997209397711121), ('C0200', 0.9990433102682006)]"
C0164,"[('C0103', 0.9938688462323367), ('C0069', 0.982275109243013), ('C0137', 0.9817168858914169)]"
C0165,"[('C0018', 0.9846269845769469), ('C0028', 0.9751331674004343), ('C0169', 0.9704392044547726)]"
C0166,"[('C0142', 0.9974632397124411), ('C0077', 0.9897558326497121), ('C0031', 0.9881084625099424)]"
C0167,"[('C0080', 0.9999415242502645), ('C0020', 0.9996792207434817), ('C0078', 0.9990933464415986)]"
C0168,"[('C0079', 0.9463223459188944), ('C0006', 0.941192779105069), ('C0196', 0.9325249212024848)]"
C0169,"[('C0039', 0.9923616672095557), ('C0136', 0.9920905494699366), ('C0113', 0.9874985602153257)]"
C0170,"[('C0171', 0.9987723509476412), ('C0037', 0.9987509243101385), ('C0096', 0.9970164583995582)]"
C0171,"[('C0096', 0.9995482474631715), ('C0170', 0.9987723509476412), ('C0037', 0.996565270758588)]"
C0172,"[('C0019', 0.986973097326942), ('C0116', 0.9648673794171682), ('C0056', 0.9463599625623411)]"
C0173,"[('C0122', 0.9979310830278963), ('C0065', 0.9973244498563149), ('C0156', 0.9947263726387975)]"
C0174,"[('C0055', 0.9997958802407253), ('C0076', 0.9954433701203219), ('C0157', 0.989898440418492)]"
C0175,"[('C0162', 0.996789306253334), ('C0017', 0.9955292508946393), ('C0004', 0.9940844827669523)]"
C0176,"[('C0070', 0.9720566799242997), ('C0027', 0.9652204092763007), ('C0073', 0.9637802287557591)]"
C0177,"[('C0009', 0.9963247565166136), ('C0128', 0.9962677020728647), ('C0198', 0.9957532156229323)]"
C0178,"[('C0061', 0.996997477528351), ('C0146', 0.9957532644676305), ('C0177', 0.9945235984991874)]"
C0179,"[('C0008', 0.9965086350321658), ('C0081', 0.9944386982050263), ('C0194', 0.9856373395599067)]"
C0181,"[('C0081', 0.9563820965402647), ('C0008', 0.9533913429145504), ('C0049', 0.9509578691890135)]"
C0182,"[('C0163', 0.9997209397711121), ('C0148', 0.999478072616318), ('C0200', 0.9985341736870731)]"
C0183,"[('C0048', 0.9999996415286149), ('C0187', 0.9865003910103194), ('C0107', 0.907795864460104)]"
C0184,"[('C0127', 0.9896749045814267), ('C0118', 0.9773796504174596), ('C0154', 0.9607343991893421)]"
C0185,"[('C0115', 0.9852246725529191), ('C0066', 0.9825206586581643), ('C0050', 0.9808330455428491)]"
C0186,"[('C0097', 0.9997357914307272), ('C0033', 0.9992580301921479), ('C0060', 0.9992468806238043)]"
C0187,"[('C0048', 0.9866160870141507), ('C0183', 0.9865003910103194), ('C0064', 0.8475087329496444)]"
C0188,"[('C0054', 0.9981284914299838), ('C0082', 0.9977784528598866), ('C0053', 0.9947878863793505)]"
C0189,"[('C0088', 0.9993058760888504), ('C0157', 0.9952098731930065), ('C0076', 0.9909993169244615)]"
C0190,"[('C0160', 0.9986176133055223), ('C0111', 0.992043903748434), ('C0134', 0.9707675503299074)]"
C0191,"[('C0069', 0.9932529857013821), ('C0119', 0.9886235192798519), ('C0056', 0.9787845288009969)]"
C0192,"[('C0083', 0.9985396436161127), ('C0009', 0.9983620640345529), ('C0032', 0.9941621476502768)]"
C0193,"[('C0120', 0.9999422425240161), ('C0129', 0.9981548906023089), ('C0132', 0.9960714621913512)]"
C0194,"[('C0024', 0.9919556361367863), ('C0179', 0.9856373395599067), ('C0139', 0.9775604724671387)]"
C0195,"[('C0075', 0.9987564541175957), ('C0113', 0.9973819542402744), ('C0109', 0.9973640042307665)]"
C0196,"[('C0006', 0.9942428517003666), ('C0079', 0.9939739111961085), ('C0117', 0.9847718312066864)]"
C0197,"[('C0151', 0.998817792385232), ('C0144', 0.9976663936882258), ('C0036', 0.9955189398628648)]"
C0198,"[('C0128', 0.99960155888018), ('C0131', 0.9989699629906709), ('C0015', 0.9988586714703078)]"
C0199,"[('C0032', 0.9986191725163619), ('C0025', 0.9970906821018457), ('C0083', 0.9955984795159962)]"
C0200,"[('C0148', 0.9995362671827129), ('C0149', 0.9994915105693416), ('C0163', 0.9990433102682006)]"
